[2025-01-20T18:10:00.396Z] Assessment at index 4931: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.394Z] Assessment at index 3779: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.397Z] Assessment at index 5027: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.396Z] Assessment at index 4787: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.399Z] Assessment at index 5591: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.400Z] Assessment at index 5663: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.400Z] Assessment at index 5747: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.401Z] Assessment at index 5987: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.401Z] Assessment at index 6071: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.398Z] Assessment at index 5459: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.398Z] Assessment at index 5207: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.745Z] Assessment at index 252: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.745Z] Assessment at index 253: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.747Z] Assessment at index 256: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.746Z] Assessment at index 254: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.747Z] Assessment at index 257: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.748Z] Assessment at index 258: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.746Z] Assessment at index 255: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.749Z] Assessment at index 262: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.750Z] Assessment at index 263: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.748Z] Assessment at index 259: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.749Z] Assessment at index 261: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.748Z] Assessment at index 260: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.750Z] Assessment at index 515: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.751Z] Assessment at index 983: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.752Z] Assessment at index 1259: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.752Z] Assessment at index 1355: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.753Z] Assessment at index 1463: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.754Z] Assessment at index 1631: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.751Z] Assessment at index 923: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.753Z] Assessment at index 1559: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.752Z] Assessment at index 1331: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.755Z] Assessment at index 2519: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.755Z] Assessment at index 2351: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.756Z] Assessment at index 3071: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.757Z] Assessment at index 3263: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.754Z] Assessment at index 1679: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.759Z] Assessment at index 3527: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.759Z] Assessment at index 3599: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.760Z] Assessment at index 3707: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.760Z] Assessment at index 3779: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.761Z] Assessment at index 3923: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.762Z] Assessment at index 4703: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.762Z] Assessment at index 4787: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.763Z] Assessment at index 4931: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.763Z] Assessment at index 5027: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.764Z] Assessment at index 5207: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.757Z] Assessment at index 3419: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.765Z] Assessment at index 5591: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.765Z] Assessment at index 5663: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.765Z] Assessment at index 5747: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.766Z] Assessment at index 5987: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.766Z] Assessment at index 6071: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.764Z] Assessment at index 5459: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.758Z] Assessment at index 3467: Field 'score' was empty and has been set to null.
[2025-01-20T18:12:15.759Z] Assessment at index 3515: Field 'score' was empty and has been set to null.
[2025-01-20T18:14:07.215Z] Assessment at index 252: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.216Z] Assessment at index 254: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.217Z] Assessment at index 256: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.216Z] Assessment at index 253: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.218Z] Assessment at index 258: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.218Z] Assessment at index 257: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.217Z] Assessment at index 255: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.220Z] Assessment at index 262: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.220Z] Assessment at index 263: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.221Z] Assessment at index 515: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.220Z] Assessment at index 261: Field '[object Object]' was empty and has been set to null.
[2025-01-20T18:14:07.222Z] Assessment at index 923: Field '[object Object]' was empty and has been set to null.
