Name of the show,FEIF ID,Age & Gender,Total,Total w/o pace,Year of a show,Name,Name of the farm (stud),Colour code,Colour,Sire´s FEIF ID,Sire Freq,Name,Name of the farm (stud),Dam´s FEIF ID,Dam Freq,Name,Name of the farm (stud)
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018286437,6-year old mares,8.21,8.28,2024,Salka,Hólsbakka,1500,Rauð,IS2010181398,4,Roði,Lyngholti,IS2007286441,2,Snót,Búð 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018225113,6-year old mares,8.19,8.56,2024,Hekla,Dallandi,1220,"Ljósrauð, stjörnótt.",IS2010125110,11,Glúmur,Dallandi,IS2010225109,2,Tekla,Dallandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016256460,7-year and older mares,8.18,8.25,2024,Engey,Hæli,2500,,IS2009101044,37,Skaginn,Skipaskaga,IS1997256470,1,Nóta,Blönduósi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019225109,5-year old mares,8.17,8.35,2024,Tign,Dallandi,2500,brún,IS2010157801,3,Nátthrafn,Varmalæk,IS2010225109,2,Tekla,Dallandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018201472,6-year old mares,8.17,8.54,2024,Hressing,Þingbrekku,2220,,IS2011135727,21,Forkur,Breiðabólsstað,IS2002225135,1,Stemmning,Seljabrekku
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018235466,6-year old mares,8.17,8.54,2024,Alfa,Vestri-Leirárgörðum,7500,Móálótt,IS2013186682,2,Haukur,Skeiðvöllum,IS2006235467,1,Narnía,Vestri-Leirárgörðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019286184,5-year old mares,8.16,8.29,2024,Sparta,Eystra-Fróðholti,3400,Rauðjörp,IS2011188560,6,Rauðskeggur,Kjarnholtum I,IS2006286178,3,Spá,Eystra-Fróðholti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018125326,6-year old stallions,8.16,8.17,2024,Runi,Reykjavík,1520,Rauðstjörnóttur,IS2013186003,3,Þór,Stóra-Hofi,IS1999284945,2,Sandra,Markaskarði
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018201048,6-year old mares,8.15,8.15,2024,Smásaga,Skipaskaga,2700,Svört,IS2012101041,2,Kvarði,Skipaskaga,IS2011201043,2,Saga,Skipaskaga
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018187884,6-year old stallions,8.15,8.22,2024,Kristall,Kílhrauni,1594,"Rauðblesóttur, sokkóttur og glaseygður.",IS2009167169,14,Hringur,Gunnarsstöðum I,IS2010257651,1,Sara,Stóra-Vatnsskarði
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018235088,6-year old mares,8.15,8.11,2024,Tinna,Steinsholti 1,2200,Móbrún,IS2015187660,2,Svartálfur,Syðri-Gegnishólum,IS2000276253,1,Bylgja,Egilsstöðum 1
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016288669,7-year and older mares,8.14,8.09,2024,Heimasæta,Fossi,4510,"Leirljós, skjótt, blesótt.",IS2005182700,1,Kinnskær,Selfossi,IS1997288630,1,Þögn,Dalsmynni
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018181354,6-year old stallions,8.13,8.24,2024,Haustar,Lindarbæ,1550,rauðblesóttur,IS2007184162,91,Skýr,Skálakoti,IS2005281350,3,Freisting,Lindarbæ
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018282660,6-year old mares,8.13,8.35,2024,Röst,Dísarstöðum 2,1520,"Rauð, smástjörnótt.",IS2009101044,37,Skaginn,Skipaskaga,IS2007282660,3,Drótt,Dísarstöðum 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018286787,6-year old mares,8.13,8.25,2024,Sumarrós,Sælukoti,6600,Bleikálótt,IS2011184871,8,Hrókur,Hjarðartúni,IS1996287594,2,Rut,Litlu-Sandvík
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019165650,5-year old stallions,8.13,8.47,2024,Hraunar,Litla-Garði,1620,"Dreyrrauður, stjörnóttur.",IS2011184871,8,Hrókur,Hjarðartúni,IS2010265656,1,Eldborg,Litla-Garði
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2015281604,7-year and older mares,8.13,8.5,2024,Karólína,Pulu,1500,Rauð,IS2005186809,3,Kórall,Lækjarbotnum,IS2005286811,1,Kempa,Austvaðsholti 1
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019164066,5-year old stallions,8.12,8.4,2024,Reynir,Garðshorni á Þelamörk,2700,Svarbrúnn,IS2012188095,52,Kveikur,Stangarlæk 1,IS2011264068,4,Garún,Garðshorni á Þelamörk
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020135095,4-year old stallions,8.12,8.22,2024,Dreyri,Steinsholti 1,1520,Rauðstjörnóttur.,IS2012188158,15,Apollo,Haukholtum,IS2010237637,2,Aska,Brautarholti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018280381,6-year old mares,8.12,8.48,2024,Tign,Koltursey,2500,Brún,IS2012188158,15,Apollo,Haukholtum,IS2004281511,2,Hneta,Koltursey
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019284372,5-year old mares,8.12,8.16,2024,Sál,Skíðbakka I,1541,"Rauðtvístjörnótt, glófext m. ægishjálm í vinstra auga.",IS2007184162,91,Skýr,Skálakoti,IS2002284366,1,Skerpla,Skíðbakka I
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016288502,7-year and older mares,8.12,8.48,2024,Sívör,Torfastöðum,6400,Bleik,IS2009188505,1,Snjár,Torfastöðum,IS1994288501,1,Silkisif,Torfastöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018187841,6-year old stallions,8.11,8.46,2024,Kór,Kálfhóli 2,2700,Svartur m. hvít hár í enni.,IS2007156418,17,Viti,Kagaðarhóli,IS2007287841,2,Veröld,Kálfhóli 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016282646,7-year and older mares,8.11,8.06,2024,Hátíð,Þingási,4500,Leirljós,IS2004187644,3,Barði,Laugarbökkum,IS2003284711,1,Hekla,Strandarhöfði
